Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR
Region 4A: CALABARZON,2014,,97.09,97.53,96.67,74.23,79.42,69.37,,,,
MIMAROPA: Southwestern Tagalog Region,2014,,95.58,95.68,95.48,65.57,71.89,59.69,,,,
Region 5: Bicol Region,2014,,98.25,98.16,98.34,64.73,71.25,58.68,,,,
Region 6: Western Visayas,2014,,98.47,98.28,98.64,65.11,71.59,59.07,,,,
Region 7: Central Visayas,2014,,101.62,101.93,101.32,67.76,75.2,60.81,,,,
Region 8: Eastern Visayas,2014,,95.99,96.18,95.82,62.3,68.86,56.18,,,,
Region 9: Zamboanga Peninsula,2014,,93.86,93.67,94.04,53.14,60.0,46.69,,,,
Region 10: Northern Mindanao,2014,,94.31,93.86,94.73,57.55,63.86,51.56,,,,
Region 11: Davao Region,2014,,99.78,100.17,99.41,60.2,66.96,53.82,,,,
Region 12: SOCCSKSARGEN,2014,,92.95,93.64,92.29,57.87,64.26,51.82,,,,
CARAGA: CARAGA Administrative Region,2014,,98.1,97.69,98.49,62.39,68.8,56.37,,,,
