1.4.1p6 Net Enrolment Rate in secondary education (Indicator is also found in SDG 4.3.s2),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,..Region VIII,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.15,38.02,43.2,42.08,48.2067,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.95,30.7,35.74,33.84,38.9889,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.79,45.87,51.2,50.92,58.1079,...,...
,..Region IX,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.92,30.4,36.04,34.43,38.4532,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.34,23.87,28.98,27.06,30.4406,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.84,37.34,43.56,42.28,47.0045,...,...
,..Region X,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.97,37.31,41.87,38.05,41.2193,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.33,29.78,34.42,31.02,33.5733,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.0,45.29,49.74,45.48,49.2934,...,...
,..Region XI,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.11,38.26,45.74,41.53,43.2965,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.54,31.09,37.99,33.81,35.3535,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.03,45.8,53.9,49.67,51.6846,...,...
,..Region XII,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.9,35.84,41.5,37.45,40.54,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.02,29.22,34.83,30.88,33.2122,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.12,42.84,48.58,44.41,48.3148,...,...
,..Caraga,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.04,38.11,44.36,40.77,46.1723,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.25,31.67,37.76,34.27,38.816,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.25,45.02,51.42,47.7,53.9758,...,...
,..BARMM,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.02,8.7,11.04,10.59,12.7783,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.98,6.19,8.06,7.49,9.428,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.08,11.24,14.05,13.73,16.1742,...,...
,,,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,,,,
.. - Data not available,,,,,,,,,,,,,,,,,,,,,,,,,
... - Data not yet available,,,,,,,,,,,,,,,,,,,,,,,,,
1/ - Updates were based on submission of DepEd in March 2022.,,,,,,,,,,,,,,,,,,,,,,,,,
2/ - Estimation of this sub-indicator only started in SY 2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,
3/ - Computation for Region IV-A and MIMAROPA is still merge in 2000 and 2001,,,,,,,,,,,,,,,,,,,,,,,,,
